gene,score
GTDC1,2.0
METTL22,2.0
LOC102724814,2.0
GOLGA8B,2.0
LINC02139,2.0
IVD,2.0
OGG1,2.0
NORAD,2.0
SMG1P7,2.0
PGS1,2.0
OBI1-AS1,2.0
ARHGAP27P1,2.0
MTHFSD,2.0
NR3C2,2.0
GTF2IRD1P1,2.0
PAXBP1-AS1,2.0
ACTG1P20,2.0
NINJ2-AS1,2.0
AOC3,2.0
GLIDR,2.0
FAM41C,2.0
NXPE3,2.0
NRXN3,2.0
USP10,2.0
ATP8B4,2.0
LINC00963,2.0
SUGP2,2.0
RHOT2,2.0
IFNL4,2.0
ZDHHC3,2.0
SH3GL3,2.0
LOC105370361,2.0
PPCDC,2.0
RNF216P1,2.0
SORD,2.0
LOC652276,2.0
ZDHHC16,2.0
UBA6-AS1,2.0
MYHAS,2.0
TRAK1,2.0
ZMIZ1-AS1,2.0
LPIN1,2.0
GLG1,2.0
CIRBP-AS1,2.0
LINC00654,2.0
MROH5,2.0
ST6GALNAC3,2.0
LOC442028,2.0
LINC01694,2.0
PDCD6IPP2,2.0
NPY6R,2.0
LCMT1-AS2,2.0
MBOAT2,2.0
LINC00261,2.0
ANO1,2.0
CNTNAP4,2.0
LINC02212,2.0
CNPY1,2.0
ETV1,2.0
LRRC28,2.0
ALOX12-AS1,2.0
DNMT3A,2.0
LOC101930085,2.0
LOC100506688,2.0
PPFIA1,2.0
C10orf142,2.0
LOC105371925,2.0
LINC02346,2.0
CCDC163,2.0
NSFL1C,2.0
NPPA-AS1,2.0
LINC02649,2.0
LOC339166,2.0
FLNB-AS1,2.0
LINC02648,2.0
PIR-FIGF,2.0
QRICH2,2.0
KIN,2.0
SLC35F5,2.0
FOXRED1,2.0
SYAP1,2.0
NRCAM,2.0
CXorf65,2.0
C5orf64-AS1,2.0
RHOU,2.0
PRSS23,2.0
LOC100132249,2.0
LOC285889,2.0
USP7,2.0
LINC01583,2.0
PKP4-AS1,2.0
SLC4A7,2.0
RNF123,2.0
TUG1,2.0
ZBTB7B,2.0
PCDHGB8P,2.0
DHX9,2.0
CD99,2.0
CACNA1G,2.0
S100PBP,2.0
NRP1,2.0
LINC01488,2.0
TUB-AS1,2.0
FCGR1B,2.0
MAVS,2.0
EFHC1,2.0
OTX1,2.0
LINC02606,2.0
ZNF625,2.0
SPIN3,1.0
LOC102723753,1.0
MRGPRG-AS1,1.0
TMEM51-AS1,1.0
PEX5L,1.0
SPAG16,1.0
FAM157A,1.0
LOC729732,1.0
FAM66E,1.0
TMCO1-AS1,1.0
ZFYVE16,1.0
LOC105371824,1.0
KANSL3,1.0
COL18A1-AS1,1.0
RBM18,1.0
SNHG14,1.0
EPS15L1,1.0
ESRG,1.0
ATPSCKMT,1.0
NEIL2,1.0
TBC1D3P2,1.0
FER,1.0
LIMS3-LOC440895,1.0
FCGR1CP,1.0
ANKFY1,1.0
FAM201B,1.0
LOC105373100,1.0
TNPO3,1.0
SSTR5-AS1,1.0
FDXR,1.0
LOC105370697,1.0
HMGN3-AS1,1.0
SPART-AS1,1.0
FRMD4A,1.0
LINC01743,1.0
TKT,1.0
FOXP1,1.0
LINC00847,1.0
POLR3E,1.0
POTEG,1.0
IL12RB2,1.0
ATP8B3,1.0
P2RX7,1.0
CENPJ,1.0
UTY,1.0
FCGR2C,1.0
SLC38A9,1.0
FAM95C,1.0
LOC285847,1.0
BANCR,1.0
THAP9-AS1,1.0
LRRC4C,1.0
LINC01490,1.0
HSCB,1.0
LOC283731,1.0
LINC00639,1.0
LINC00189,1.0
LOC101928437,1.0
TYW1,1.0
TOP3B,1.0
TINCR,1.0
BEND3P3,1.0
LOC101928335,1.0
SNHG20,1.0
MIR320B1,1.0
LINC01704,1.0
C7orf50,1.0
LINC02291,1.0
LINC-ROR,1.0
ATP6V0E2,1.0
FHL1,1.0
SLC9A8,1.0
NCKAP5-AS1,1.0
LOC101927168,1.0
MRVI1-AS1,1.0
PIK3CD-AS1,1.0
CAPN1,1.0
BEND5,1.0
PKD1P3-NPIPA1,1.0
DCAF6,1.0
SHISA4,1.0
LINC02159,1.0
LOC105372695,1.0
PXK,1.0
GRAMD2B,1.0
CHEK1,1.0
SH3TC1,1.0
GATD3A,1.0
LINC01091,1.0
ARHGAP26,1.0
LOC100419583,1.0
DMAC2,1.0
SPATA18,1.0
RPS6KC1,1.0
ZNF652,1.0
CCM2,1.0
RUVBL2,1.0
TMEM249,1.0
COMMD10,1.0
LINC01777,1.0
TMCO3,1.0
MFSD4A-AS1,1.0
FLJ36000,1.0
LOC648987,1.0
LOC100130331,1.0
SSX8P,1.0
LOC100507006,1.0
CD8A,1.0
AKAP17A,1.0
RDH13,1.0
LINC01555,1.0
ASTN2-AS1,1.0
CSNK1D,1.0
LHFPL3-AS2,1.0
KIAA1755,1.0
LOC105377924,1.0
IFI44,1.0
LOC105373031,1.0
BSDC1,1.0
MIR17HG,1.0
PM20D1,1.0
CSRNP2,1.0
AP3M1,1.0
LOC101928251,1.0
C2orf42,1.0
LINC00562,1.0
LOC105377975,1.0
OR7E47P,1.0
SLC26A5,1.0
MZF1-AS1,1.0
TBC1D15,1.0
LETMD1,1.0
INTS14,1.0
LINC01053,1.0
CARD14,1.0
SLC29A2,1.0
LINC01185,1.0
LOC105370941,1.0
FAM66B,1.0
TMEM254-AS1,1.0
LOC389834,1.0
LOC101929523,1.0
LINC02232,1.0
DENND1B,1.0
GOLGA8CP,1.0
LOC101928730,1.0
GOLGA8A,1.0
GOLGA8DP,1.0
LOC102724153,1.0
HHLA3,1.0
FAM223B,1.0
FAM223A,1.0
LINGO1-AS1,1.0
ANGEL2,1.0
MAP3K4,1.0
CIDEA,1.0
LINC01198,1.0
DOCK9-DT,1.0
C16orf87,1.0
IGFALS,1.0
ANKRD42,1.0
TUBB,1.0
FRG1HP,1.0
PRORSD1P,1.0
ARRB2,1.0
LINC00347,1.0
ZNF295-AS1,1.0
LINC00421,1.0
OR7E2P,1.0
STRCP1,1.0
LOC389906,1.0
ZDHHC19,1.0
LINC00645,1.0
HEXA-AS1,1.0
SETD6,1.0
OR7E12P,1.0
PIK3IP1-AS1,1.0
SRSF10,1.0
LOC101927583,1.0
LOC101927447,1.0
LOC442497,1.0
CYP1B1-AS1,1.0
SNAPC2,1.0
LIMS3,1.0
FAM78B,1.0
ITPRID1,1.0
FAM66D,1.0
LOC729737,1.0
USP46-AS1,1.0
PHF21B,1.0
SLC47A2,1.0
AIRN,1.0
LINC00964,1.0
CSNK1A1P1,1.0
LINC00570,1.0
PRSS40A,1.0
ERLNC1,1.0
RAET1E-AS1,1.0
MEG8,1.0
LINC01422,1.0
NRON,1.0
KCNT2,1.0
GRM2,1.0
C3P1,1.0
LINC00881,1.0
LINC01711,1.0
NAP1L6P,1.0
UCKL1-AS1,1.0
KLHL8,1.0
LOC105378137,1.0
LINC01761,1.0
LINC00602,1.0
FRG1EP,1.0
LOC100506679,1.0
DUXAP10,1.0
TDRKH-AS1,1.0
LINC02443,1.0
ARHGAP44,1.0
LINC01435,1.0
LOC110091768,1.0
SETD4,1.0
BPIFA4P,1.0
LINC01763,1.0
DLEU1-AS1,1.0
LOC101927495,1.0
ZNRD1ASP,1.0
LOC101928254,1.0
LINC00537,1.0
GIN1,1.0
DPP8,1.0
BRD9,1.0
U2AF1L4,1.0
EDEM2,1.0
LINC01994,1.0
STK19,1.0
LINC02213,1.0
RPL13AP6,1.0
FAM182A,1.0
RPL13AP5,1.0
SLC25A35,1.0
LOC110091777,1.0
LOC101927357,1.0
KPNA1,1.0
TRABD,1.0
LINC02041,1.0
LOC286178,1.0
MTHFD1L,1.0
LINC01804,1.0
LINC00488,1.0
LINC00588,1.0
OLFM3,1.0
LOC100505915,1.0
LOC102723427,1.0
CTPS1,1.0
ZNF790-AS1,1.0
LINC00472,1.0
MATN1-AS1,1.0
C18orf54,1.0
KLHDC3,1.0
ASTE1,1.0
LOC105379514,1.0
ATAD2B,1.0
POT1-AS1,1.0
ERAL1,1.0
LINC01800,1.0
ZNF844,1.0
LLPH-DT,1.0
FAM66A,1.0
LOC101929473,1.0
ZDHHC23,1.0
FAM239B,1.0
BPESC1,1.0
MROH7,1.0
LINC01193,1.0
LINC00574,1.0
STARD4-AS1,1.0
TNRC17,1.0
CYP21A1P,1.0
ZNF765,1.0
LOC101929653,1.0
LINC01944,1.0
SMG7-AS1,1.0
ANKRD26P1,1.0
LINC01565,1.0
RAD51-AS1,1.0
RUSC2,1.0
MED24,1.0
PTPRC,1.0
LOC105379194,1.0
APOO,1.0
PPM1L,1.0
GPR50-AS1,1.0
LOC101930370,1.0
RNF41,1.0
CEP57L1,1.0
MARCKSL1,1.0
CTCFL,1.0
LOC101928937,1.0
ALDH1L1,1.0
NIM1K,1.0
PART1,1.0
HERC2P10,1.0
PPP1R10,1.0
TOR1B,1.0
MAPK13,1.0
P4HA3-AS1,1.0
LOC101927446,1.0
LOC101927391,1.0
SDCBP2-AS1,1.0
SMG1P2,1.0
LOC105379030,1.0
C18orf61,1.0
RAB5IF,1.0
CRYM-AS1,1.0
LINC02280,1.0
MYCNUT,1.0
MEIS2,1.0
ARFRP1,1.0
CD58,1.0
PCAT5,1.0
FAM222A-AS1,1.0
ABCC10,1.0
LINC01267,1.0
LOC105379152,1.0
TRERNA1,1.0
LOC101927374,1.0
TBC1D2,1.0
PWRN1,1.0
UBAC2,1.0
FAM99A,1.0
LINC01075,1.0
NENF,1.0
GUSB,1.0
SRGAP2D,1.0
RAD1,1.0
EFCAB2,1.0
MLF2,1.0
LOC157273,1.0
BOLA2-SMG1P6,1.0
CD274,1.0
LOC101929237,1.0
FAM138A,1.0
CEP83-DT,1.0
LOC90246,1.0
ZNF252P-AS1,1.0
ANKRD20A4-ANKRD20A20P,1.0
NDUFA6-DT,1.0
RPL34-AS1,1.0
LOC101927055,1.0
TCL1A,1.0
METTL21EP,1.0
RRS1-AS1,1.0
LINC02367,1.0
AATBC,1.0
RGS6,1.0
LINC00663,1.0
IDUA,1.0
LINC01160,1.0
FAM138E,1.0
VCPKMT,1.0
LINC01838,1.0
LOC100132356,1.0
C1RL-AS1,1.0
JMJD1C,1.0
LINC01867,1.0
LINC00205,1.0
PSTPIP1,1.0
LINC01554,1.0
PAQR3,1.0
LOC101929295,1.0
IL7R,1.0
FBXO28,1.0
LRRTM4,1.0
SGSM3,1.0
ADAM15,1.0
SORD2P,1.0
LINC01118,1.0
MIRLET7BHG,1.0
LINC00668,1.0
MIR124-2HG,1.0
SLC4A3,1.0
PLS3-AS1,1.0
LINC01284,1.0
LINC01315,1.0
THRIL,1.0
LINC01159,1.0
LOC100506885,1.0
WDR88,1.0
YBX3P1,1.0
LRRC74B,1.0
PKD1P5-LOC105376752,1.0
TMEM208,1.0
GOLGA2P7,1.0
BRD1,1.0
LINC00265,1.0
PKD1P4-NPIPA8,1.0
RAPGEF4-AS1,1.0
MIR133A1HG,1.0
LINC02433,1.0
COL24A1,1.0
DIAPH2-AS1,1.0
LDC1P,1.0
PDYN-AS1,1.0
SLC25A25,1.0
LINC00939,1.0
LOC643387,1.0
LINC00052,1.0
LINC00900,1.0
TMEM161B,1.0
BAIAP2-DT,1.0
LINC01011,1.0
LINC00442,1.0
MTMR9LP,1.0
MTRR,1.0
LOC101927845,1.0
LINC01814,1.0
LOC101928504,1.0
ANKRD36BP1,1.0
LOC100505736,1.0
TRHDE-AS1,1.0
LOC105377162,1.0
LINC00691,1.0
LOC100505782,1.0
SILC1,1.0
LINC00543,1.0
LOC101929165,1.0
LINC00661,1.0
INTS9,1.0
FAM138D,1.0
FAM138C,1.0
DLG4,1.0
FAM138B,1.0
FAM138F,1.0
ERVK13-1,1.0
LINC02247,1.0
LOC100129935,1.0
DCLRE1C,1.0
NDST3,1.0
LIG1,1.0
MRPS25,1.0
LINC02037,1.0
PIGG,1.0
GAS1RR,1.0
ABHD11,1.0
LINC01945,1.0
KANSL1L-AS1,1.0
LOC101928123,1.0
CALML3-AS1,1.0
MAPK8IP1P2,1.0
SLC22A17,1.0
LINC02171,1.0
LINC00612,1.0
DKFZP434H168,1.0
LINC02043,1.0
USP54,1.0
NSF,1.0
LINC00653,1.0
ATP2C2-AS1,1.0
LINC01977,1.0
LOC105374454,1.0
LINC01895,1.0
LINC02092,1.0
LINC00670,1.0
MIR5011,1.0
LINC01607,1.0
LPO,1.0
DGKH,1.0
PKD1P6-NPIPP1,1.0
ZNF875,1.0
SSUH2,1.0
LOC100133077,1.0
HTR3A,1.0
YY1P2,1.0
AK9,1.0
DDX39A,1.0
SNAPC5,1.0
SLC14A2-AS1,1.0
RRP36,1.0
ARMC4P1,1.0
RARB,1.0
NOX5,1.0
DGCR2,1.0
MAPK11,1.0
SNTG2-AS1,1.0
PLEKHG1,1.0
PLB1,1.0
MIR9-3,1.0
PYCR3,1.0
DDX49,1.0
GATC,1.0
LINC02450,1.0
C11orf21,1.0
RNF8,1.0
ZNF208,1.0
LONRF1,1.0
RBPMS2,1.0
IFRD1,1.0
LOC100130548,1.0
TAC3,1.0
MSC-AS1,1.0
CNOT10,1.0
ZC3H14,1.0
CHRNA4,1.0
DUX4,1.0
ENC1,1.0
ARHGEF10L,1.0
LOC105376306,1.0
NALT1,1.0
MAN1B1,1.0
XPR1,1.0
CA4,1.0
KCTD13,1.0
CHRNA7,1.0
SELENOI,1.0
HEIH,1.0
HDAC2,1.0
NTPCR,1.0
PGPEP1,1.0
TUBGCP2,1.0
PARPBP,1.0
ABCC5,1.0
HCG20,1.0
LINC02141,1.0
ABHD16A,1.0
USP3,1.0
PPP2R1A,1.0
MASP1,1.0
CLEC12A-AS1,1.0
COLEC11,1.0
DAW1,1.0
PIWIL3,1.0
FAM169A,1.0
CA3-AS1,1.0
CNTN2,1.0
MIR181C,1.0
FKBP14,1.0
LINC01979,1.0
LINC00280,1.0
SLC4A11,1.0
MIR7-2,1.0
SNORC,1.0
LOC101927402,1.0
LOC108783645,1.0
SAMSN1-AS1,1.0
GSTA7P,1.0
LRFN5,1.0
LOC101927950,1.0
LIPC-AS1,1.0
XPO5,1.0
HSD17B1,1.0
WDR48,1.0
SMPD4,1.0
RELCH,1.0
MICAL2,1.0
PMS2,1.0
PEG13,1.0
GSC-DT,1.0
LINC01410,1.0
LINC02080,1.0
SLC9A1,1.0
CLCN1,1.0
HNRNPA3,1.0
CEP41,1.0
TIMELESS,1.0
ASIC3,1.0
TBC1D8,1.0
LINC01960,1.0
LOC105369747,1.0
ZBTB49,1.0
LINC00901,1.0
IGF2BP2,1.0
EBF4,1.0
LOC100507388,1.0
GXYLT2,1.0
CHMP1A,1.0
TSPAN10,1.0
STARD5,1.0
ZNF503,1.0
AGBL3,1.0
HDGF,1.0
CNNM1,1.0
POLK,1.0
MIR181A1,1.0
SLC30A10,1.0
MEIS1-AS3,1.0
CD6,1.0
MOCS1,1.0
FRMD8P1,1.0
TRIM8,1.0
ST8SIA6,1.0
LOC101929431,1.0
KMT5A,1.0
PARL,1.0
CDH23-AS1,1.0
LINC01749,1.0
KIF9-AS1,1.0
LOC105371267,1.0
RCSD1,1.0
CNIH3,1.0
MISP3,1.0
SIDT1,1.0
DUSP10,1.0
TMEM51,1.0
KIF5C,1.0
LOC105375800,1.0
LINC02138,1.0
LOC100132057,1.0
LOC101927560,1.0
AFG1L,1.0
LINC00898,1.0
SLC12A2,1.0
FAM230A,1.0
ELK2AP,1.0
METAP1D,1.0
GLP1R,1.0
PHTF1,1.0
FAM230D,1.0
ZAN,1.0
LOC105379550,1.0
LOC102723838,1.0
LINC02547,1.0
LOC254896,1.0
LINC02603,1.0
KLHDC9,1.0
LOC286083,1.0
LOC283214,1.0
MINCR,1.0
CCDC187,1.0
PNISR,1.0
LOC101927429,1.0
ZBTB8A,1.0
TCTN1,1.0
CDC25B,1.0
LOC105371414,1.0
GOLGA8EP,1.0
LINC01776,1.0
GOLGA8F,1.0
SALL2,1.0
CTBP1-DT,1.0
ZNF519,1.0
SCMH1,1.0
LOC401557,1.0
LINC02626,1.0
PRCD,1.0
MRGBP,1.0
PHF24,1.0
LOC105371430,1.0
ESYT3,1.0
FLJ46284,1.0
RHBG,1.0
LINC00869,1.0
LINC01056,1.0
ARID4B,1.0
ADARB2-AS1,1.0
CHRNA3,1.0
TXNDC11,1.0
MIR425,1.0
UROS,1.0
PIAS2,1.0
CHIT1,1.0
KRT42P,1.0
DCP1B,1.0
CA11,1.0
ATXN1-AS1,1.0
GTF2H2B,1.0
TBC1D10C,1.0
KLF8,1.0
LOC101928748,1.0
OGFOD3,1.0
SLC11A2,1.0
ZNF33A,1.0
FAM120AOS,1.0
DHX8,1.0
ZNF74,1.0
EDA2R,1.0
MIR762HG,1.0
MSTO1,1.0
ACAD9,1.0
GXYLT1P3,1.0
KLK2,1.0
PRRG3,1.0
PCGF5,1.0
KIAA1656,1.0
CERS6-AS1,1.0
LCORL,1.0
MAPK8,1.0
SLC9A5,1.0
AHCTF1,1.0
LOC101928068,1.0
LOC100287497,1.0
SLC22A20P,1.0
PRMT1,1.0
MIR492,1.0
LOC101929538,1.0
LINC01593,1.0
GK5,1.0
EFR3A,1.0
CRLS1,1.0
LOC642943,1.0
AP1AR,1.0
LINC01168,1.0
DRD5P2,1.0
MIR485,1.0
SUPV3L1,1.0
LOC101060524,1.0
BMP1,1.0
CMPK2,1.0
MIR3936HG,1.0
LOC284241,1.0
POLL,1.0
CSE1L,1.0
LOC102724467,1.0
DYNC1LI2,1.0
ZBP1,1.0
LINC01448,1.0
HSD3BP4,1.0
RGMB-AS1,1.0
HTATSF1P2,1.0
TMEM114,1.0
CKMT1B,1.0
AXIN1,1.0
NIPAL2,1.0
DCAF11,1.0
OR10AC1,1.0
PTOV1-AS2,1.0
ASAP1-IT2,1.0
LOC101928295,1.0
LINC01924,1.0
LOC100128988,1.0
SERPINB8,1.0
MAP3K20-AS1,1.0
LINC02687,1.0
LOC101928988,1.0
LINC01535,1.0
MISP,1.0
PRKY,1.0
PMS2P9,1.0
RIMS2,1.0
TRIM31,1.0
MTERF4,1.0
KLRA1P,1.0
LOC101929457,1.0
FAS,1.0
LINC02204,1.0
ITPRIPL2,1.0
ACOXL-AS1,1.0
OR4K3,1.0
OR5AL1,1.0
LOC100507472,1.0
LOC101927692,1.0
TEX41,1.0
KIRREL1-IT1,1.0
FLJ42351,1.0
LINC01973,1.0
PCBP1-AS1,1.0
LINC01122,1.0
EXOC6B,1.0
KRT18P55,1.0
LINC01858,1.0
LOC100133331,1.0
LINC01001,1.0
LOC100132062,1.0
LINC01002,1.0
LSINCT5,1.0
LOC100132287,1.0
NLGN4Y,1.0
ZIM2-AS1,1.0
LINC01929,1.0
LOC284930,1.0
LOC105372440,1.0
PTGER3,1.0
LOC101928844,1.0
LINC00511,1.0
LOC101060553,1.0
LOC440570,1.0
LINC01783,1.0
ATP2B1-AS1,1.0
LOC401312,1.0
PTPRD-AS2,1.0
LOC101928372,1.0
TRIM41,1.0
GYS1,1.0
LOC100132831,1.0
TRAPPC2L,1.0
LINC02616,1.0
LINC00922,1.0
LOC101926892,1.0
LINC01433,1.0
LINC02681,1.0
LINC02133,1.0
H2AJ,1.0
KRT8P41,1.0
PIP5K1P1,1.0
CHMP1B2P,1.0
LOC643542,1.0
LINC01720,1.0
LINC01163,1.0
NPHP4,1.0
LOC100130587,1.0
DSCR10,1.0
PP2D1,1.0
PANX2,1.0
LOC441052,1.0
OR7E5P,1.0
LINC00184,1.0
IYD,1.0
PRSS40B,1.0
SLC25A13,1.0
STIM2-AS1,1.0
TMEM116,1.0
APLNR,1.0
KIFC3,1.0
PCSK5,1.0
LINC01782,1.0
TYW3,1.0
CCDC13-AS1,1.0
ERC1,1.0
LINC01787,1.0
PRRT3-AS1,1.0
CHKB-CPT1B,1.0
INTS6L-AS1,1.0
CCL15-CCL14,1.0
SLC39A13,1.0
TMEM25,1.0
PKN2-AS1,1.0
LINC00303,1.0
COL6A4P2,1.0
TMEM189,1.0
GOLGA2P9,1.0
PAXBP1,1.0
CLK1,1.0
FYTTD1,1.0
HLA-L,1.0
LINC00518,1.0
LINC00921,1.0
ZNF767P,1.0
CYP51A1-AS1,1.0
DUXAP8,1.0
TTC25,1.0
LINC01766,1.0
ADIPOQ-AS1,1.0
DGUOK,1.0
SELL,1.0
LINC00477,1.0
PSMA3-AS1,1.0
DNAJC7,1.0
PGCP1,1.0
WDR13,1.0
TERF2IP,1.0
UBBP4,1.0
PPP1R2P2,1.0
SDAD1P1,1.0
EXOG,1.0
IQCJ-SCHIP1-AS1,1.0
GRK6P1,1.0
RXFP1,1.0
LINC00863,1.0
HOXA10-AS,1.0
YWHAEP1,1.0
ITIH4-AS1,1.0
LINC01347,1.0
AGAP12P,1.0
ISYNA1,1.0
MCCC1,1.0
LINC01653,1.0
IRF3,1.0
LOC105376194,1.0
KRT16P3,1.0
KRT16P2,1.0
LINC01648,1.0
LINC00927,1.0
MIR634,1.0
LBX1-AS1,1.0
LOC105376114,1.0
AK2,1.0
CNTNAP2-AS1,1.0
BARX1-DT,1.0
LOC101928266,1.0
DNPEP,1.0
USP12-AS2,1.0
TAF6,1.0
EPB41L5,1.0
NSFP1,1.0
SLC9A7P1,1.0
UXS1,1.0
GPX5,1.0
WAC-AS1,1.0
SATB2,1.0
MRPS11,1.0
LOC101927911,1.0
LOC101928135,1.0
ADAP2,1.0
IKBKB,1.0
PPP2R2D,1.0
ATAT1,1.0
KLHL22,1.0
LOC100996724,1.0
CKMT1A,1.0
TMEM26-AS1,1.0
LOC100129931,1.0
ZBTB20,1.0
PAN3-AS1,1.0
PHKA2-AS1,1.0
LOC254028,1.0
UBE2L3,1.0
LINC00942,1.0
LOC730098,1.0
MIR205HG,1.0
LINC01854,1.0
LINC00938,1.0
ARMCX4,1.0
FXYD5,1.0
PPP4R4,1.0
TSNAX-DISC1,1.0
LOC101927314,1.0
TESC,1.0
ACVR2B-AS1,1.0
VAV3-AS1,1.0
UGT3A2,1.0
ZNF525,1.0
TIMM8B,1.0
FTX,1.0
CYP4F24P,1.0
CDRT15P2,1.0
HIKESHI,1.0
TASOR2,1.0
LINC02012,1.0
SSX6P,1.0
LINC01415,1.0
LINC01521,1.0
TALAM1,1.0
PRRT3,1.0
LINC01597,1.0
LOC101929798,1.0
LINC02140,1.0
LOC100420587,1.0
LINC00841,1.0
RNF213-AS1,1.0
LINC01927,1.0
LOC283038,1.0
RTN4,1.0
PHOSPHO2-KLHL23,1.0
TNFAIP8L2-SCNM1,1.0
ASCC1,1.0
UXT,1.0
LOC283177,1.0
RPH3A,1.0
LOC101928272,1.0
HOMER3-AS1,1.0
LINC00485,1.0
ALG13,1.0
ECEL1P2,1.0
TIMM23B,1.0
BBS9,1.0
DCAF17,1.0
LINC00514,1.0
RUSC1-AS1,1.0
LOC100996664,1.0
APOOP5,1.0
LINC01181,1.0
CCDC186,1.0
DKFZp451B082,1.0
SLC25A5-AS1,1.0
SCARF1,1.0
LINC02222,1.0
DNM1P35,1.0
DPP6,1.0
PPAT,1.0
QDPR,1.0
TMEM120A,1.0
LINC01301,1.0
SCIN,1.0
LINC00637,1.0
ABALON,1.0
CANX,1.0
CHD1,1.0
PRKAB2,1.0
TTLL3,1.0
REXO4,1.0
POU2F1,1.0
MGAT1,1.0
PAX5,1.0
PKD2,1.0
EPHB6,1.0
DMGDH,1.0
CRYZL2P,1.0
SREBF2-AS1,1.0
AP5Z1,1.0
IL1RAP,1.0
LOC100287846,1.0
LINC01354,1.0
